Date,Produit,Region,Vendeur,Montant
01/01/2024,Laptop Pro,Nord,Jean,1200
02/01/2024,Souris sans fil,Nord,Jean,25
2024-01-03,Ecran 27 pouces,Est,Marie,300
04/01/2024,Laptop Pro,Sud,Pierre,1200
05/01/2024,Clavier Mécanique,Ouest,Sophie,
06/01/2024,Laptpo Pro,Nord,Jean,1200
07/01/2024,Casque Audio,Est,Marie,150
07/01/2024,Casque Audio,Est,Marie,150
08/01/2024,Webcam HD,,Pierre,80
09/01/2024,Laptop Pro,Ouest,Sophie,1200
10/01/2024,Souris sans fil,Nord,Jean,25
11/01/2024,Ecran 27 pouces,Sud,Pierre,300
12/01/2024,Laptop Pro,Est,Marie,1200
15/01/2024,Tablette Graphique,Ouest,Sophie,450
16/01/2024,Laptop Pro,Nord,Jean,1200
2024-01-17,Disque Dur SSD,Sud,Pierre,100
18/01/2024,Clavier Mécanique,Est,,80
19/01/2024,Laptop Pro,Ouest,Sophie,1200
20/01/2024,Souris Gamer,Nord,Jean,50
21/01/2024,Ecran 27 pouces,Sud,Pierre,300
22/01/2024,Laptop Pro,Est,Marie,1200
23/01/2024,Imprimante Laser,Ouest,Sophie,200
24/01/2024,Laptop Pro,Nord,Jean,1200
25/01/2024,Casque Audio,Est,Marie,150
26/01/2024,Webcam HD,Sud,Pierre,80
27/01/2024,Laptpo Pro,Ouest,Sophie,1200
28/01/2024,Souris sans fil,Nord,Jean,25
29/01/2024,Ecran 27 pouces,Est,Marie,300
30/01/2024,Laptop Pro,Sud,Pierre,1200
31/01/2024,Clavier Mécanique,Ouest,Sophie,80
