Reference_Devis,Client,Montant_HT_Signe
D2023-1001,Entreprise A,500
D2023-1002,Entreprise B,1000
D2023-1003,Entreprise C,300
D2023-1004,TechSolutions SARL,2500
D2023-1005,Digital Partners,1850
D2023-1006,Innovation Lab,3200
D2023-1007,StartUp Connect,750
D2023-1008,Global Services,4500
D2023-1009,Cloud Expert,1200
D2023-1010,Data Systems,2800
D2023-1011,SecureIT France,3500
D2023-1012,WebAgency Pro,950
D2023-1013,Marketing Plus,1600
D2023-1014,Consulting Group,5200
D2023-1015,Finance Solutions,2200
D2023-1016,HR Innovations,1400
D2023-1017,LogisTech,3800
D2023-1018,EcoTrade,890
D2023-1019,SmartCity,4200
D2023-1020,MediaCorp,1750
D2023-1021,HealthTech,2900
D2023-1022,EduPlatform,1100
D2023-1023,RealEstate Pro,6500
D2023-1024,AutoMobile Services,3300
D2023-1025,FoodTech,1950
D2023-1026,TravelOnline,2400
D2023-1027,SportConnect,1350
D2023-1028,FashionHub,2100
D2023-1029,GreenEnergy,7800
D2023-1030,BuildCo,4700
D2023-1031,LegalTech,3600
D2023-1032,InsurTech,2800
D2023-1033,RetailChain,5400
D2023-1034,BioMed,4100
D2023-1035,Aerospace Ltd,8900
D2023-1036,ChemLab,3400
D2023-1037,PharmaCorp,6200
D2023-1038,AgriTech,2600
D2023-1039,MiningCo,5800
D2023-1040,EnergyPlus,4400
D2023-1041,WaterWorks,2300
D2023-1042,TransportHub,3900
D2023-1043,TelcoNet,5600
D2023-1044,PrintMedia,1550
D2023-1045,PackagingSolutions,2050
D2023-1046,DesignStudio,1800
D2023-1047,ArchitectCo,4900
D2023-1048,EngineeringPlus,5100
D2023-1049,QualityControl,2700
D2023-1050,SafetyFirst,3100
